id,homeTeam,homeScore,awayTeam,awayScore,lineProvider,overUnder,spread,formattedSpread,openingSpread,openingOverUnder,homeMoneyline,awayMoneyline
401403887,Missouri,34,Abilene Christian,17,William Hill (New Jersey),56.5,-31.5,Missouri -31.5,,,,
401403887,Missouri,34,Abilene Christian,17,consensus,56.5,-31.5,Missouri -31.5,,,,
401403888,South Carolina,7,Georgia,48,Bovada,56.0,25.5,Georgia -25.5,24.5,50.5,1200,-4000
401403888,South Carolina,7,Georgia,48,William Hill (New Jersey),55.5,25.5,Georgia -25.5,,,,
401403888,South Carolina,7,Georgia,48,consensus,56,25.5,Georgia -25.5,,,,
401403888,South Carolina,7,Georgia,48,teamrankings,56,25.5,Georgia -25.5,,,,
401403886,Georgia Tech,0,Ole Miss,42,Bovada,62.5,17.5,Ole Miss -17.5,14.5,60.0,525,-800
401403886,Georgia Tech,0,Ole Miss,42,William Hill (New Jersey),62.5,17,Ole Miss -17,,,,
401403886,Georgia Tech,0,Ole Miss,42,consensus,63,17,Ole Miss -17,,,,
401403886,Georgia Tech,0,Ole Miss,42,teamrankings,63,17,Ole Miss -17,,,,
401403991,UCLA,32,South Alabama,31,Bovada,59.0,-15.5,UCLA -15.5,-14.0,59.0,-650,450
401403991,UCLA,32,South Alabama,31,William Hill (New Jersey),59,-15.5,UCLA -15.5,,,,
401403991,UCLA,32,South Alabama,31,consensus,59,-15.5,UCLA -15.5,,,,
401403991,UCLA,32,South Alabama,31,teamrankings,59.5,-15.5,UCLA -15.5,,,,
401403987,Notre Dame,24,California,17,Bovada,41.0,-13.5,Notre Dame -13.5,-12.5,43.0,-480,350
401403987,Notre Dame,24,California,17,William Hill (New Jersey),41,-13.5,Notre Dame -13.5,,,,
401403987,Notre Dame,24,California,17,consensus,41,-13.5,Notre Dame -13.5,,,,
401403987,Notre Dame,24,California,17,teamrankings,41.5,-13.5,Notre Dame -13.5,,,,
401403891,Northern Illinois,28,Vanderbilt,38,Bovada,58.5,-2.5,Northern Illinois -2.5,-1.5,61.5,-130,110
401403891,Northern Illinois,28,Vanderbilt,38,William Hill (New Jersey),58,-2.5,Northern Illinois -2.5,,,,
401403891,Northern Illinois,28,Vanderbilt,38,consensus,58.5,-2.5,Northern Illinois -2.5,,,,
401403891,Northern Illinois,28,Vanderbilt,38,teamrankings,58.5,-2.5,Northern Illinois -2.5,,,,
401404070,Nebraska,14,Oklahoma,49,Bovada,65.5,10.5,Oklahoma -10.5,14.0,64.5,325,-450
401404070,Nebraska,14,Oklahoma,49,William Hill (New Jersey),66.5,10.5,Oklahoma -10.5,,,,
401404070,Nebraska,14,Oklahoma,49,consensus,65.5,10.5,Oklahoma -10.5,,,,
401404070,Nebraska,14,Oklahoma,49,teamrankings,65.5,10.5,Oklahoma -10.5,,,,
401404071,Baylor,42,Texas State,7,Bovada,53.0,-30.0,Baylor -30.0,-30.0,53.0,,
401404071,Baylor,42,Texas State,7,William Hill (New Jersey),53,-30,Baylor -30,,,,
401404071,Baylor,42,Texas State,7,consensus,53,-30,Baylor -30,,,,
401404071,Baylor,42,Texas State,7,teamrankings,53,-30,Baylor -30,,,,
401404069,Iowa State,43,Ohio,10,Bovada,47.5,-19.5,Iowa State -19.5,-21.5,49.0,-1100,650
401404069,Iowa State,43,Ohio,10,William Hill (New Jersey),48.5,-20,Iowa State -20,,,,
401404069,Iowa State,43,Ohio,10,consensus,48,-20,Iowa State -20,,,,
401404069,Iowa State,43,Ohio,10,teamrankings,48,-20,Iowa State -20,,,,
401404136,Army,49,Villanova,10,William Hill (New Jersey),56,-13.5,Army -13.5,,,,
401404136,Army,49,Villanova,10,Bovada,56.0,-14.5,Army -14.5,-13.5,56.0,,
401404136,Army,49,Villanova,10,consensus,56,-14,Army -14,,,,
401404149,Michigan,59,Connecticut,0,Bovada,58.5,-47.5,Michigan -47.5,-47.0,59.5,,
401404149,Michigan,59,Connecticut,0,William Hill (New Jersey),59,-47.5,Michigan -47.5,,,,
401404149,Michigan,59,Connecticut,0,consensus,59,-47.5,Michigan -47.5,,,,
401404149,Michigan,59,Connecticut,0,teamrankings,59,-47.5,Michigan -47.5,,,,
401405083,Northwestern,24,Southern Illinois,31,Bovada,58.0,-14.0,Northwestern -14.0,-13.5,58.0,,
401405083,Northwestern,24,Southern Illinois,31,William Hill (New Jersey),58.5,-13.5,Northwestern -13.5,,,,
401405083,Northwestern,24,Southern Illinois,31,consensus,58.5,-13.5,Northwestern -13.5,,,,
401405085,Wisconsin,66,New Mexico State,7,Bovada,45.0,-37.5,Wisconsin -37.5,-37.0,47.5,,
401405085,Wisconsin,66,New Mexico State,7,William Hill (New Jersey),45,-37.5,Wisconsin -37.5,,,,
401405085,Wisconsin,66,New Mexico State,7,consensus,45.5,-37.5,Wisconsin -37.5,,,,
401405085,Wisconsin,66,New Mexico State,7,teamrankings,45.5,-38,Wisconsin -38,,,,
401405087,Maryland,34,SMU,27,Bovada,74.0,-3.0,Maryland -3.0,-2.5,70.0,-145,125
401405087,Maryland,34,SMU,27,William Hill (New Jersey),73.5,-3,Maryland -3,,,,
401405087,Maryland,34,SMU,27,consensus,73.5,-2.5,Maryland -2.5,,,,
401405087,Maryland,34,SMU,27,teamrankings,74,-3,Maryland -3,,,,
401405088,Ohio State,77,Toledo,21,Bovada,63.0,-32.0,Ohio State -32.0,-31.5,61.0,,
401405088,Ohio State,77,Toledo,21,William Hill (New Jersey),63,-31,Ohio State -31,,,,
401405088,Ohio State,77,Toledo,21,consensus,63,-31,Ohio State -31,,,,
401405088,Ohio State,77,Toledo,21,teamrankings,63,-34.5,Ohio State -34.5,,,,
401411110,Boston College,38,Maine,17,William Hill (New Jersey),48,-31,Boston College -31,,,,
401411110,Boston College,38,Maine,17,consensus,48,-31,Boston College -31,,,,
401415217,Wyoming,17,Air Force,14,Bovada,47.0,17.0,Air Force -17.0,15.0,50.0,500,-750
401415217,Wyoming,17,Air Force,14,William Hill (New Jersey),47,16.5,Air Force -16.5,,,,
401415217,Wyoming,17,Air Force,14,consensus,47,16.5,Air Force -16.5,,,,
401415217,Wyoming,17,Air Force,14,teamrankings,47,16.5,Air Force -16.5,,,,
401411114,Virginia Tech,27,Wofford,7,William Hill (New Jersey),45.5,-40,Virginia Tech -40,,,,
401411114,Virginia Tech,27,Wofford,7,consensus,45.5,-38.5,Virginia Tech -38.5,,,,
